person_id,zone_id,entry_time,exit_time,dwell_s,gender,age_range,visit_date,hour_of_day
P_00005,Z_C3,2025-03-10 09:23:15,2025-03-10 09:23:30,15,F,senior,2025-03-10,9
P_00005,Z_N7,2025-03-10 09:23:48,2025-03-10 09:25:27,99,F,senior,2025-03-10,9
P_00005,Z_N1,2025-03-10 09:25:56,2025-03-10 09:29:21,205,F,senior,2025-03-10,9
P_00006,Z_S4,2025-03-10 09:08:08,2025-03-10 09:11:31,203,M,adult,2025-03-10,9
P_00006,Z_N3,2025-03-10 09:11:57,2025-03-10 09:14:30,153,M,adult,2025-03-10,9
P_00006,Z_C2,2025-03-10 09:18:15,2025-03-10 09:18:50,35,M,adult,2025-03-10,9
P_00006,Z_C1,2025-03-10 09:19:08,2025-03-10 09:19:36,28,M,adult,2025-03-10,9
P_00006,Z_S3,2025-03-10 09:19:52,2025-03-10 09:24:50,298,M,adult,2025-03-10,9
P_00006,Z_C2,2025-03-10 09:25:18,2025-03-10 09:25:38,20,M,adult,2025-03-10,9
P_00006,Z_C3,2025-03-10 09:25:46,2025-03-10 09:26:08,22,M,adult,2025-03-10,9
P_00006,Z_N7,2025-03-10 09:26:38,2025-03-10 09:31:29,291,M,adult,2025-03-10,9
P_00006,Z_C1,2025-03-10 09:31:54,2025-03-10 09:31:54,0,M,adult,2025-03-10,9
P_00007,Z_E2,2025-03-10 09:08:42,2025-03-10 09:08:51,0,M,young_adult,2025-03-10,9
P_00007,Z_C1,2025-03-10 09:09:04,2025-03-10 09:09:37,33,M,young_adult,2025-03-10,9
P_00007,Z_S5,2025-03-10 09:09:56,2025-03-10 09:12:28,152,M,young_adult,2025-03-10,9
P_00008,Z_E1,2025-03-10 09:08:46,2025-03-10 09:09:02,16,F,adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:09:35,2025-03-10 09:10:01,26,F,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:10:26,2025-03-10 09:10:35,0,F,adult,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:10:59,2025-03-10 09:11:12,13,F,adult,2025-03-10,9
P_00008,Z_N8,2025-03-10 09:11:26,2025-03-10 09:15:21,235,F,adult,2025-03-10,9
P_00008,Z_N7,2025-03-10 09:15:44,2025-03-10 09:16:56,72,F,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:17:08,2025-03-10 09:17:25,17,F,adult,2025-03-10,9
P_00008,Z_C1,2025-03-10 09:17:48,2025-03-10 09:17:56,0,F,adult,2025-03-10,9
P_00008,Z_S4,2025-03-10 09:18:14,2025-03-10 09:19:10,56,F,adult,2025-03-10,9
P_00008,Z_S5,2025-03-10 09:19:38,2025-03-10 09:21:19,101,F,adult,2025-03-10,9
P_00008,Z_C2,2025-03-10 09:21:29,2025-03-10 09:21:39,0,F,adult,2025-03-10,9
P_00008,Z_C3,2025-03-10 09:21:59,2025-03-10 09:22:33,34,F,adult,2025-03-10,9
P_00008,Z_N5,2025-03-10 09:23:00,2025-03-10 09:25:22,142,F,adult,2025-03-10,9
P_00008,Z_N9,2025-03-10 09:25:56,2025-03-10 09:26:39,43,F,adult,2025-03-10,9
P_00009,Z_E2,2025-03-10 09:10:32,2025-03-10 09:10:43,11,M,young_adult,2025-03-10,9
P_00009,Z_C1,2025-03-10 09:10:51,2025-03-10 09:11:03,12,M,young_adult,2025-03-10,9
P_00009,Z_C2,2025-03-10 09:11:12,2025-03-10 09:11:22,0,M,young_adult,2025-03-10,9
P_00009,Z_C3,2025-03-10 09:11:52,2025-03-10 09:12:11,19,M,young_adult,2025-03-10,9
P_00009,Z_N6,2025-03-10 09:12:36,2025-03-10 09:17:12,276,M,young_adult,2025-03-10,9
P_00009,Z_N7,2025-03-10 09:17:20,2025-03-10 09:21:38,258,M,young_adult,2025-03-10,9
P_00010,Z_C2,2025-03-10 09:12:05,2025-03-10 09:12:18,13,M,adult,2025-03-10,9
P_00010,Z_C3,2025-03-10 09:12:28,2025-03-10 09:13:02,34,M,adult,2025-03-10,9
P_00010,Z_N2,2025-03-10 09:13:36,2025-03-10 09:15:37,169,M,adult,2025-03-10,9
P_00010,Z_N5,2025-03-10 09:16:04,2025-03-10 09:19:58,234,M,adult,2025-03-10,9
P_00010,Z_C2,2025-03-10 09:20:29,2025-03-10 09:20:45,16,M,adult,2025-03-10,9
P_00010,Z_C1,2025-03-10 09:21:14,2025-03-10 09:21:46,32,M,adult,2025-03-10,9
P_00010,Z_CK,2025-03-10 09:21:55,2025-03-10 09:26:45,290,M,adult,2025-03-10,9
P_00010,Z_E2,2025-03-10 09:27:05,2025-03-10 09:27:24,19,M,adult,2025-03-10,9
P_00010,Z_C1,2025-03-10 09:27:41,2025-03-10 09:28:00,19,M,adult,2025-03-10,9
P_00010,Z_C2,2025-03-10 09:28:23,2025-03-10 09:28:47,24,M,adult,2025-03-10,9
P_00010,Z_C3,2025-03-10 09:29:04,2025-03-10 09:29:16,12,M,adult,2025-03-10,9
P_00010,Z_N4,2025-03-10 09:29:25,2025-03-10 09:31:58,153,M,adult,2025-03-10,9
P_00010,Z_N8,2025-03-10 09:32:26,2025-03-10 09:33:32,66,M,adult,2025-03-10,9
P_00010,Z_N2,2025-03-10 09:33:43,2025-03-10 09:37:45,242,M,adult,2025-03-10,9
P_00010,Z_C1,2025-03-10 09:38:21,2025-03-10 09:38:33,12,M,adult,2025-03-10,9
P_00011,Z_C2,2025-03-10 09:12:58,2025-03-10 09:13:21,23,M,young_adult,2025-03-10,9
P_00011,Z_C3,2025-03-10 09:13:40,2025-03-10 09:14:01,21,M,young_adult,2025-03-10,9
P_00011,Z_N10,2025-03-10 09:14:35,2025-03-10 09:18:43,248,M,young_adult,2025-03-10,9
P_00011,Z_N9,2025-03-10 09:19:15,2025-03-10 09:20:18,63,M,young_adult,2025-03-10,9
P_00011,Z_C2,2025-03-10 09:20:44,2025-03-10 09:21:05,21,M,young_adult,2025-03-10,9
P_00011,Z_C1,2025-03-10 09:21:22,2025-03-10 09:21:37,15,M,young_adult,2025-03-10,9
P_00011,Z_CK,2025-03-10 09:21:50,2025-03-10 09:25:08,198,M,young_adult,2025-03-10,9
P_00012,Z_N5,2025-03-10 09:21:09,2025-03-10 09:25:32,263,F,middle_aged,2025-03-10,9
P_00012,Z_N3,2025-03-10 09:25:55,2025-03-10 09:30:32,277,F,middle_aged,2025-03-10,9
P_00012,Z_C2,2025-03-10 09:30:49,2025-03-10 09:31:10,21,F,middle_aged,2025-03-10,9
P_00012,Z_C1,2025-03-10 09:31:39,2025-03-10 09:31:55,16,F,middle_aged,2025-03-10,9
P_00012,Z_CK,2025-03-10 09:32:06,2025-03-10 09:36:53,287,F,middle_aged,2025-03-10,9
P_00012,Z_E1,2025-03-10 09:37:22,2025-03-10 09:37:31,0,F,middle_aged,2025-03-10,9
P_00012,Z_E2,2025-03-10 09:40:26,2025-03-10 09:40:32,0,F,middle_aged,2025-03-10,9
P_00012,Z_C1,2025-03-10 09:40:40,2025-03-10 09:41:15,35,F,middle_aged,2025-03-10,9
P_00012,Z_S4,2025-03-10 09:41:33,2025-03-10 09:45:22,229,F,middle_aged,2025-03-10,9
P_00012,Z_C2,2025-03-10 09:45:38,2025-03-10 09:45:49,11,F,middle_aged,2025-03-10,9
P_00012,Z_C3,2025-03-10 09:46:16,2025-03-10 09:46:27,11,F,middle_aged,2025-03-10,9
P_00012,Z_N9,2025-03-10 09:50:34,2025-03-10 09:53:34,180,F,middle_aged,2025-03-10,9
P_00012,Z_N5,2025-03-10 09:53:48,2025-03-10 09:58:37,289,F,middle_aged,2025-03-10,9
P_00012,Z_C1,2025-03-10 09:59:05,2025-03-10 09:59:23,18,F,middle_aged,2025-03-10,9
P_00013,Z_C2,2025-03-10 09:22:12,2025-03-10 09:22:41,29,M,young_adult,2025-03-10,9
P_00013,Z_E2,2025-03-10 09:22:46,2025-03-10 09:23:03,17,M,young_adult,2025-03-10,9
P_00013,Z_C1,2025-03-10 09:23:36,2025-03-10 09:23:49,13,M,young_adult,2025-03-10,9
P_00013,Z_E2,2025-03-10 09:25:17,2025-03-10 09:25:29,12,M,young_adult,2025-03-10,9
P_00013,Z_C2,2025-03-10 09:29:36,2025-03-10 09:29:46,0,M,young_adult,2025-03-10,9
P_00013,Z_C3,2025-03-10 09:30:02,2025-03-10 09:30:17,15,M,young_adult,2025-03-10,9
P_00013,Z_N6,2025-03-10 09:30:36,2025-03-10 09:34:24,228,M,young_adult,2025-03-10,9
P_00013,Z_C3,2025-03-10 09:34:54,2025-03-10 09:35:18,24,M,young_adult,2025-03-10,9
P_00014,Z_C1,2025-03-10 09:23:02,2025-03-10 09:23:19,17,M,young_adult,2025-03-10,9
P_00014,Z_S3,2025-03-10 09:23:27,2025-03-10 09:25:49,298,M,young_adult,2025-03-10,9
P_00014,Z_C2,2025-03-10 09:26:24,2025-03-10 09:26:56,32,M,young_adult,2025-03-10,9
P_00014,Z_C3,2025-03-10 09:27:06,2025-03-10 09:27:29,23,M,young_adult,2025-03-10,9
P_00014,Z_N8,2025-03-10 09:27:50,2025-03-10 09:30:53,183,M,young_adult,2025-03-10,9
P_00014,Z_N5,2025-03-10 09:31:25,2025-03-10 09:35:18,233,M,young_adult,2025-03-10,9
P_00014,Z_N9,2025-03-10 09:35:43,2025-03-10 09:39:14,211,M,young_adult,2025-03-10,9
P_00014,Z_N4,2025-03-10 09:39:23,2025-03-10 09:41:53,150,M,young_adult,2025-03-10,9
P_00015,Z_E1,2025-03-10 09:24:41,2025-03-10 09:24:57,16,F,teenager,2025-03-10,9
P_00015,Z_C1,2025-03-10 09:25:29,2025-03-10 09:25:43,14,F,teenager,2025-03-10,9
P_00015,Z_S5,2025-03-10 09:25:57,2025-03-10 09:26:39,42,F,teenager,2025-03-10,9
P_00015,Z_C2,2025-03-10 09:26:58,2025-03-10 09:27:24,26,F,teenager,2025-03-10,9
P_00015,Z_E1,2025-03-10 09:27:27,2025-03-10 09:27:34,0,F,teenager,2025-03-10,9
P_00015,Z_C3,2025-03-10 09:27:42,2025-03-10 09:28:16,34,F,teenager,2025-03-10,9
P_00015,Z_N10,2025-03-10 09:28:36,2025-03-10 09:30:25,109,F,teenager,2025-03-10,9
P_00015,Z_N7,2025-03-10 09:30:40,2025-03-10 09:35:06,266,F,teenager,2025-03-10,9
P_00015,Z_N10,2025-03-10 09:35:36,2025-03-10 09:38:38,182,F,teenager,2025-03-10,9
P_00015,Z_N10,2025-03-10 09:38:51,2025-03-10 09:42:37,226,F,teenager,2025-03-10,9
P_00015,Z_N6,2025-03-10 09:43:08,2025-03-10 09:46:13,185,F,teenager,2025-03-10,9
P_00015,Z_N4,2025-03-10 09:46:23,2025-03-10 09:47:22,59,F,teenager,2025-03-10,9
P_00015,Z_C2,2025-03-10 09:47:55,2025-03-10 09:48:22,27,F,teenager,2025-03-10,9
P_00015,Z_C1,2025-03-10 09:48:52,2025-03-10 09:49:02,0,F,teenager,2025-03-10,9
P_00015,Z_S7,2025-03-10 09:49:21,2025-03-10 09:52:28,187,F,teenager,2025-03-10,9
P_00015,Z_C2,2025-03-10 09:52:53,2025-03-10 09:53:03,0,F,teenager,2025-03-10,9
P_00015,Z_C1,2025-03-10 09:53:19,2025-03-10 09:53:51,32,F,teenager,2025-03-10,9
P_00015,Z_CK,2025-03-10 09:54:09,2025-03-10 09:58:58,289,F,teenager,2025-03-10,9
P_00015,Z_E2,2025-03-10 09:59:23,2025-03-10 09:59:34,11,F,teenager,2025-03-10,9
P_00015,Z_E1,2025-03-10 10:02:59,2025-03-10 10:03:09,0,F,teenager,2025-03-10,10
P_00015,Z_C1,2025-03-10 10:03:26,2025-03-10 10:03:49,23,F,teenager,2025-03-10,10
P_00015,Z_E2,2025-03-10 10:04:03,2025-03-10 10:04:12,0,F,teenager,2025-03-10,10
P_00015,Z_C3,2025-03-10 10:04:43,2025-03-10 10:04:58,15,F,teenager,2025-03-10,10
P_00015,Z_N7,2025-03-10 10:05:33,2025-03-10 10:10:20,287,F,teenager,2025-03-10,10
P_00015,Z_C3,2025-03-10 10:10:29,2025-03-10 10:10:47,18,F,teenager,2025-03-10,10
P_00015,Z_N2,2025-03-10 10:11:22,2025-03-10 10:12:43,81,F,teenager,2025-03-10,10
P_00015,Z_C2,2025-03-10 10:12:58,2025-03-10 10:13:19,21,F,teenager,2025-03-10,10
P_00015,Z_C1,2025-03-10 10:13:31,2025-03-10 10:13:49,18,F,teenager,2025-03-10,10
P_00015,Z_S4,2025-03-10 10:14:13,2025-03-10 10:15:12,59,F,teenager,2025-03-10,10
P_00015,Z_C2,2025-03-10 10:15:29,2025-03-10 10:15:46,17,F,teenager,2025-03-10,10
P_00015,Z_C3,2025-03-10 10:16:10,2025-03-10 10:16:29,19,F,teenager,2025-03-10,10
P_00016,Z_E1,2025-03-10 09:26:18,2025-03-10 09:26:31,13,M,middle_aged,2025-03-10,9
P_00016,Z_C1,2025-03-10 09:26:40,2025-03-10 09:26:58,18,M,middle_aged,2025-03-10,9
P_00016,Z_C1,2025-03-10 09:27:23,2025-03-10 09:27:34,11,M,middle_aged,2025-03-10,9
P_00016,Z_S2,2025-03-10 09:27:56,2025-03-10 09:31:13,197,M,middle_aged,2025-03-10,9
P_00016,Z_C2,2025-03-10 09:31:22,2025-03-10 09:31:53,31,M,middle_aged,2025-03-10,9
P_00016,Z_C3,2025-03-10 09:32:07,2025-03-10 09:32:35,28,M,middle_aged,2025-03-10,9
P_00016,Z_N7,2025-03-10 09:33:01,2025-03-10 09:34:21,80,M,middle_aged,2025-03-10,9
P_00016,Z_N4,2025-03-10 09:34:42,2025-03-10 09:38:12,210,M,middle_aged,2025-03-10,9
P_00016,Z_N8,2025-03-10 09:40:40,2025-03-10 09:44:05,205,M,middle_aged,2025-03-10,9
P_00016,Z_C2,2025-03-10 09:44:19,2025-03-10 09:44:48,29,M,middle_aged,2025-03-10,9
P_00016,Z_C1,2025-03-10 09:45:20,2025-03-10 09:45:41,21,M,middle_aged,2025-03-10,9
P_00016,Z_S7,2025-03-10 09:45:58,2025-03-10 09:52:10,372,M,middle_aged,2025-03-10,9
P_00017,Z_E2,2025-03-10 09:26:26,2025-03-10 09:26:37,11,F,adult,2025-03-10,9
P_00017,Z_N3,2025-03-10 09:26:59,2025-03-10 09:27:35,36,F,adult,2025-03-10,9
P_00018,Z_C1,2025-03-10 09:27:00,2025-03-10 09:27:12,12,F,adult,2025-03-10,9
P_00018,Z_C2,2025-03-10 09:27:35,2025-03-10 09:27:49,14,F,adult,2025-03-10,9
P_00018,Z_C3,2025-03-10 09:28:21,2025-03-10 09:28:51,30,F,adult,2025-03-10,9
P_00019,Z_C1,2025-03-10 09:28:29,2025-03-10 09:28:47,18,F,adult,2025-03-10,9
P_00019,Z_N5,2025-03-10 09:29:14,2025-03-10 09:32:07,173,F,adult,2025-03-10,9
P_00019,Z_E1,2025-03-10 09:32:16,2025-03-10 09:32:28,12,F,adult,2025-03-10,9
P_00019,Z_C1,2025-03-10 09:32:44,2025-03-10 09:33:04,20,F,adult,2025-03-10,9
P_00019,Z_C2,2025-03-10 09:33:28,2025-03-10 09:33:51,23,F,adult,2025-03-10,9
P_00019,Z_C3,2025-03-10 09:34:25,2025-03-10 09:34:38,13,F,adult,2025-03-10,9
P_00020,Z_E2,2025-03-10 09:28:59,2025-03-10 09:29:08,0,F,senior,2025-03-10,9
P_00020,Z_C1,2025-03-10 09:29:34,2025-03-10 09:29:54,20,F,senior,2025-03-10,9
P_00020,Z_CK,2025-03-10 09:31:06,2025-03-10 09:31:06,0,F,senior,2025-03-10,9
P_00021,Z_CK,2025-03-10 09:29:22,2025-03-10 09:33:57,275,F,adult,2025-03-10,9
P_00021,Z_E2,2025-03-10 09:34:19,2025-03-10 09:34:33,14,F,adult,2025-03-10,9
P_00021,Z_N7,2025-03-10 09:35:06,2025-03-10 09:39:04,238,F,adult,2025-03-10,9
P_00021,Z_C2,2025-03-10 09:39:26,2025-03-10 09:39:51,25,F,adult,2025-03-10,9
P_00021,Z_C1,2025-03-10 09:40:01,2025-03-10 09:40:11,0,F,adult,2025-03-10,9
P_00021,Z_S4,2025-03-10 09:40:33,2025-03-10 09:42:20,107,F,adult,2025-03-10,9
P_00021,Z_C2,2025-03-10 09:42:49,2025-03-10 09:43:16,27,F,adult,2025-03-10,9
P_00021,Z_C2,2025-03-10 09:44:39,2025-03-10 09:45:00,21,F,adult,2025-03-10,9
P_00021,Z_C3,2025-03-10 09:45:33,2025-03-10 09:45:49,16,F,adult,2025-03-10,9
P_00021,Z_N1,2025-03-10 09:45:58,2025-03-10 09:49:31,213,F,adult,2025-03-10,9
P_00022,Z_C2,2025-03-10 09:29:52,2025-03-10 09:30:13,34,F,senior,2025-03-10,9
P_00022,Z_C1,2025-03-10 09:30:35,2025-03-10 09:30:52,17,F,senior,2025-03-10,9
P_00022,Z_C3,2025-03-10 09:30:53,2025-03-10 09:31:07,14,F,senior,2025-03-10,9
P_00022,Z_N9,2025-03-10 09:31:21,2025-03-10 09:32:15,54,F,senior,2025-03-10,9
P_00022,Z_N9,2025-03-10 09:32:37,2025-03-10 09:33:38,61,F,senior,2025-03-10,9
P_00022,Z_C2,2025-03-10 09:33:55,2025-03-10 09:34:28,33,F,senior,2025-03-10,9
P_00022,Z_E2,2025-03-10 09:34:55,2025-03-10 09:35:04,0,F,senior,2025-03-10,9
P_00023,Z_N6,2025-03-10 09:32:23,2025-03-10 09:34:43,140,F,adult,2025-03-10,9
P_00023,Z_N4,2025-03-10 09:35:05,2025-03-10 09:37:23,138,F,adult,2025-03-10,9
P_00023,Z_N9,2025-03-10 09:37:53,2025-03-10 09:41:47,234,F,adult,2025-03-10,9
P_00023,Z_N10,2025-03-10 09:42:15,2025-03-10 09:43:38,83,F,adult,2025-03-10,9
P_00023,Z_C1,2025-03-10 09:43:40,2025-03-10 09:44:06,26,F,adult,2025-03-10,9
P_00023,Z_CK,2025-03-10 09:44:32,2025-03-10 09:49:30,298,F,adult,2025-03-10,9
P_00023,Z_C2,2025-03-10 09:49:43,2025-03-10 09:50:10,27,F,adult,2025-03-10,9
P_00024,Z_CK,2025-03-10 09:32:54,2025-03-10 09:37:09,255,M,adult,2025-03-10,9
P_00024,Z_E1,2025-03-10 09:37:23,2025-03-10 09:37:34,11,M,adult,2025-03-10,9
P_00024,Z_E1,2025-03-10 09:37:41,2025-03-10 09:37:56,15,M,adult,2025-03-10,9
P_00024,Z_C2,2025-03-10 09:38:03,2025-03-10 09:38:24,21,M,adult,2025-03-10,9
P_00024,Z_C2,2025-03-10 09:38:45,2025-03-10 09:38:54,0,M,adult,2025-03-10,9
P_00024,Z_C3,2025-03-10 09:39:04,2025-03-10 09:39:20,16,M,adult,2025-03-10,9
P_00024,Z_N9,2025-03-10 09:39:35,2025-03-10 09:42:05,150,M,adult,2025-03-10,9
P_00025,Z_E2,2025-03-10 09:33:01,2025-03-10 09:33:13,12,M,young_adult,2025-03-10,9
P_00025,Z_C1,2025-03-10 09:33:33,2025-03-10 09:33:47,14,M,young_adult,2025-03-10,9
P_00025,Z_C2,2025-03-10 09:34:15,2025-03-10 09:34:39,24,M,young_adult,2025-03-10,9
P_00025,Z_N8,2025-03-10 09:34:46,2025-03-10 09:37:36,170,M,young_adult,2025-03-10,9
P_00025,Z_C1,2025-03-10 09:38:38,2025-03-10 09:38:38,0,M,young_adult,2025-03-10,9
P_00026,Z_C1,2025-03-10 09:35:02,2025-03-10 09:35:15,13,F,senior,2025-03-10,9
P_00026,Z_S5,2025-03-10 09:35:27,2025-03-10 09:36:09,42,F,senior,2025-03-10,9
P_00026,Z_C2,2025-03-10 09:36:17,2025-03-10 09:36:31,14,F,senior,2025-03-10,9
P_00026,Z_C3,2025-03-10 09:36:41,2025-03-10 09:37:11,30,F,senior,2025-03-10,9
P_00026,Z_N2,2025-03-10 09:37:45,2025-03-10 09:40:12,147,F,senior,2025-03-10,9
P_00026,Z_N4,2025-03-10 09:40:26,2025-03-10 09:43:45,199,F,senior,2025-03-10,9
P_00026,Z_N1,2025-03-10 09:44:09,2025-03-10 09:49:00,291,F,senior,2025-03-10,9
P_00026,Z_N8,2025-03-10 09:49:17,2025-03-10 09:53:50,273,F,senior,2025-03-10,9
P_00026,Z_N3,2025-03-10 09:54:19,2025-03-10 09:56:05,106,F,senior,2025-03-10,9
P_00026,Z_C3,2025-03-10 09:56:16,2025-03-10 09:56:27,11,F,senior,2025-03-10,9
P_00026,Z_E1,2025-03-10 09:56:42,2025-03-10 09:56:52,0,F,senior,2025-03-10,9
P_00027,Z_C2,2025-03-10 09:35:50,2025-03-10 09:36:14,24,M,young_adult,2025-03-10,9
P_00027,Z_C1,2025-03-10 09:36:23,2025-03-10 09:36:41,18,M,young_adult,2025-03-10,9
P_00027,Z_CK,2025-03-10 09:36:55,2025-03-10 09:37:55,60,M,young_adult,2025-03-10,9
P_00027,Z_C2,2025-03-10 09:37:58,2025-03-10 09:38:13,15,M,young_adult,2025-03-10,9
P_00027,Z_E2,2025-03-10 09:38:30,2025-03-10 09:38:46,16,M,young_adult,2025-03-10,9
P_00027,Z_S6,2025-03-10 09:38:56,2025-03-10 09:42:52,236,M,young_adult,2025-03-10,9
